ts,vin,rpm,speed,coolant_temp,maf,engine_load,throttle_pos,timing_adv,intake_temp,short_ft_b1,long_ft_b1,map,o2b1s1,o2b1s2,cm_voltage
2025-09-18T21:01:58.453100+00:00,,,,,,,,,,,,,,,
2025-09-18T21:02:04.717085+00:00,,,,,,,,,,,,,,,
